stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
2425,MAC2,Jean Macé,,47.990166,0.193612,,,0,PLA_JMACE,1
2541,MAD1,Madon,,47.961983,0.203699,,,0,PLA_MADON,1
2542,MAD2,Madon,,47.961843,0.203646,,,0,PLA_MADON,1
2556,MAL1,Malpalu,,48.000725,0.219373,,,0,PLA_MALPA,2
2617,MAN1,Nelson Mandela,,47.986774,0.181275,,,0,PLA_NELSO,1
2616,MAN2,Nelson Mandela,,47.987072,0.181706,,,0,PLA_NELSO,1
2557,MAQ1,Maquère,,48.077103,0.115771,,,0,PLA_MAQUE,2
2558,MAQ2,Maquère,,48.077770,0.115367,,,0,PLA_MAQUE,2
3013,MAR1,Maréchaux,,48.039066,0.246649,,,0,PLA_MAREC,1
2550,MAS1,Mairie St-Georges,,47.972672,0.099782,,,0,PLA_MAISG,1
2551,MAS2,Mairie St-Georges,,47.972483,0.099247,,,0,PLA_MAISG,1
2553,MAT1,Mairie Trangé,,48.027107,0.113264,,,0,PLA_MAIRI,1
2552,MAT2,Mairie Trangé,,48.027182,0.113237,,,0,PLA_MAIRI,1
1088,MB03,Martin-Bréguet,,47.976393,0.168097,,,0,PLA_MARTI,1
1089,MB04,Martin-Bréguet,,47.976344,0.167871,,,0,PLA_MARTI,1
2581,MED1,Mediathèque,,48.002388,0.192428,,,0,PLA_MEDIA,1
2583,MEL1,Méliès,,48.011220,0.160962,,,0,PLA_MELIE,2
2582,MEL2,Méliès,,48.010841,0.160813,,,0,PLA_MELIE,1
2584,MEN1,Mendès-France,,48.006817,0.199615,,,0,PLA_MENDE,1
3089,MEN2,Mendès-France,,48.006769,0.199664,,,0,PLA_MENDE,1
2606,MEV1,Moulin l'Évêque,,48.024327,0.187291,,,0,PLA_MOULI,2
2607,MEV2,Moulin l'Évêque,,48.024247,0.187356,,,0,PLA_MOULI,2
2891,MGE1,Mongre,,47.955684,0.115859,,,0,PLA_MONGR,1
2890,MGE2,Mongre,,47.955595,0.115929,,,0,PLA_MONGR,1
2595,MGU1,Montaigu,,47.983989,0.156441,,,0,PLA_MONTA,1
2594,MGU2,Montaigu,,47.984154,0.156816,,,0,PLA_MONTA,1
3040,MIC1,Louise Michel,,48.024219,0.329238,,,0,PLA_LOUMI,1
3041,MIC2,Louise Michel,,48.024052,0.329740,,,0,PLA_LOUMI,1
2586,MIL1,Millet,,47.973814,0.223828,,,0,PLA_MILLE,1
2585,MIL2,Millet,,47.973433,0.223073,,,0,PLA_MILLE,1
2587,MIR1,Miroir,,47.989718,0.198818,,,0,PLA_MIROI,1
2588,MIR2,Miroir,,47.990210,0.199471,,,0,PLA_MIROI,1
3088,MLM3,Mairie du Mans,,48.006826,0.197375,,,0,PLA_MAILE,1
2543,MNE1,Maine,,48.014577,0.267192,,,0,PLA_MAINE,1
2544,MNE2,Maine,,48.014835,0.268078,,,0,PLA_MAINE,1
2592,MNI1,Monier,,47.953630,0.184595,,,0,PLA_MONIE,2
2591,MNI2,Monier,,47.953712,0.184611,,,0,PLA_MONIE,2
2924,MNV1,Maison Neuve,,47.921500,0.220273,,,0,PLA_MAINV,1
2925,MNV2,Maison Neuve,,47.921371,0.220078,,,0,PLA_MAINV,1
2590,MON1,Monet,,47.975086,0.224573,,,0,PLA_MONET,1
2589,MON2,Monet,,47.975254,0.224129,,,0,PLA_MONET,1
2600,MOR1,Morane,,47.964298,0.205759,,,0,PLA_MORAN,1
2601,MOR2,Morane,,47.964131,0.205610,,,0,PLA_MORAN,1
